Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
ROCK,"Gibraltar Industries, Inc.",32.8,$1.04B,1993,Capital Goods,Steel/Iron Ore,NASDAQ
GIGM,GigaMedia Limited,3.07,$33.93M,n/a,Technology,"Computer Software: Programming, Data Processing",NASDAQ
GIGA,Giga-tronics Incorporated,0.8761,$8.37M,1983,Capital Goods,Electrical Products,NASDAQ
GIII,"G-III Apparel Group, LTD.",19.93,$969.64M,1989,Consumer Non-Durables,Apparel,NASDAQ
GILT,Gilat Satellite Networks Ltd.,4.69,$256.31M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
GILD,"Gilead Sciences, Inc.",65.48,$85.56B,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
GBCI,"Glacier Bancorp, Inc.",33.04,$2.53B,n/a,Finance,Major Banks,NASDAQ
GLAD,Gladstone Capital Corporation,9.86,$251.61M,2001,n/a,n/a,NASDAQ
GLADO,Gladstone Capital Corporation,25.5745,$56.26M,n/a,n/a,n/a,NASDAQ
GOOD,Gladstone Commercial Corporation,21.25,$535.4M,2003,Consumer Services,Real Estate,NASDAQ
GOODM,Gladstone Commercial Corporation,25.75,n/a,n/a,Consumer Services,Real Estate,NASDAQ
GOODO,Gladstone Commercial Corporation,25.3868,$29.19M,n/a,Consumer Services,Real Estate,NASDAQ
GOODP,Gladstone Commercial Corporation,25.78,$25.78M,n/a,Consumer Services,Real Estate,NASDAQ
GAIN,Gladstone Investment Corporation,9.265,$299.92M,2005,n/a,n/a,NASDAQ
GAINM,Gladstone Investment Corporation,25.7569,n/a,n/a,n/a,n/a,NASDAQ
GAINN,Gladstone Investment Corporation,25.6,n/a,n/a,n/a,n/a,NASDAQ
GAINO,Gladstone Investment Corporation,25.74,n/a,n/a,n/a,n/a,NASDAQ
LAND,Gladstone Land Corporation,11.3,$133.91M,1993,Consumer Services,Real Estate Investment Trusts,NASDAQ
LANDP,Gladstone Land Corporation,25.9367,n/a,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
